                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.1455,                 1.2057,                 1.4424,                0.72464,                0.59004,                0.63367,                0.37292,                 1.5415,                 1.3868,                  1.882,               0.001684,               0.001684,               0.001684
                     86,                 1.1669,                 1.2081,                 1.4506,                0.67388,                0.61752,                0.62089,                0.35942,                 1.5908,                 1.4019,                 1.9178,               0.001585,               0.001585,               0.001585
                     87,                 1.1361,                 1.1497,                 1.4611,                0.69824,                0.59387,                0.63093,                0.36701,                  1.575,                 1.3976,                 1.8881,               0.001486,               0.001486,               0.001486
                     88,                 1.1756,                 1.2388,                 1.4588,                0.66854,                0.59004,                0.61395,                0.35498,                 1.5771,                 1.4338,                 1.8903,               0.001387,               0.001387,               0.001387
                     89,                 1.1367,                  1.153,                 1.4331,                0.64027,                0.62069,                0.61706,                0.35967,                 1.6025,                 1.4458,                  1.939,               0.001288,               0.001288,               0.001288
                     90,                 1.1649,                 1.2385,                 1.5628,                0.64952,                0.58621,                0.60464,                0.35768,                  1.611,                 1.3783,                 1.9596,               0.001189,               0.001189,               0.001189
                     91,                 1.0589,                 1.0661,                 1.4946,                0.62044,                0.61377,                0.60584,                0.34798,                 1.6295,                 1.4194,                 1.9797,                0.00109,                0.00109,                0.00109
                     92,                  1.051,                 1.0182,                 1.4657,                 0.6072,                0.62835,                0.62236,                0.36409,                 1.6246,                 1.3954,                 1.9676,               0.000991,               0.000991,               0.000991
                     93,                  1.117,                 1.1037,                 1.5343,                0.65867,                0.58621,                 0.6184,                0.37027,                 1.5782,                 1.3867,                 1.9255,               0.000892,               0.000892,               0.000892
                     94,                 1.0032,                0.99366,                 1.4133,                0.66543,                0.60201,                0.63716,                0.37709,                 1.5886,                 1.3793,                 1.9312,               0.000793,               0.000793,               0.000793
                     95,                 1.0319,                0.98243,                 1.4306,                0.59911,                0.61839,                0.63923,                0.37091,                 1.5891,                 1.4168,                 1.9232,               0.000694,               0.000694,               0.000694
                     96,                 1.0149,                0.98771,                 1.4484,                 0.7143,                0.54023,                0.63621,                0.37887,                 1.5662,                 1.4119,                 1.9057,               0.000595,               0.000595,               0.000595
                     97,                0.98007,                  1.038,                 1.4008,                0.73804,                0.54789,                0.64605,                0.37653,                 1.6071,                  1.378,                 1.9514,               0.000496,               0.000496,               0.000496
                     98,                 1.0399,                 0.9499,                 1.4563,                0.77709,                0.55172,                0.65214,                0.38183,                 1.6151,                 1.3474,                 1.9569,               0.000397,               0.000397,               0.000397
                     99,                0.97163,                0.92626,                 1.3909,                0.77165,                0.56322,                0.65276,                0.38649,                 1.6196,                 1.3484,                 1.9615,               0.000298,               0.000298,               0.000298
